WKT,Jawa Tengah,Latitude,Longitude
"POINT (109.0 -7.733333)",Kabupaten Cilacap, -7.733333, 109  
"POINT (109.140438 -7.4832133)",Kabupaten Banyumas, -7.4832133, 109.140438  
"POINT (109.3638 -7.390747)",Kabupaten Purbalingga, -7.390747, 109.3638  
"POINT (109.656502 -7.678682)",Kabupaten Kebumen, -7.678682, 109.656502  
"POINT (110.008003 -7.709731)",Kabupaten Purworejo, -7.709731, 110.008003  
"POINT (109.899399 -7.362109)",Kabupaten Wonosobo, -7.362109, 109.899399  
"POINT (110.213799 -7.481253)",Kabupaten Magelang, -7.481253, 110.213799  
"POINT (110.595901 -7.523819)",Kabupaten Boyolali, -7.523819, 110.595901  
"POINT (110.8195292 -7.6808818)",Kabupaten Sukoharjo, -7.6808818, 110.8195292  
"POINT (110.9793291 -7.6073413)",Kabupaten Karanganyar,-7.6073413,110.9793291
"POINT (111.0225026 -7.4190794)",Kabupaten Sragen,-7.4190794,111.0225026
"POINT (110.9498825 -7.1528901)",Kabupaten Grobogan,-7.1528901,110.9498825
"POINT (111.4166667 -6.95)",Kabupaten Blora, -6.95, 111.4166667  
"POINT (111.345299 -6.71124)",Kabupaten Rembang, -6.71124, 111.345299  
"POINT (111.038002 -6.751338)",Kabupaten Pati, -6.751338, 111.038002  
"POINT (110.838203 -6.804087)",Kabupaten Kudus, -6.804087, 110.838203  
"POINT (110.6717 -6.5596059)",Kabupaten Jepara, -6.5596059, 110.6717  
"POINT (110.639297 -6.888115)",Kabupaten Demak, -6.888115, 110.639297  
"POINT (110.4166667 -6.9666667)",Kabupaten Semarang, -6.9666667, 110.4166667  
"POINT (110.174797 -7.316669)",Kabupaten Temanggung, -7.316669, 110.174797  
"POINT (110.205597 -6.919686)",Kabupaten Kendal, -6.919686, 110.205597  
"POINT (109.7234519 -6.8941111)",Kabupaten Batang, -6.8941111, 109.7234519  
"POINT (109.669998 -6.882887)",Kabupaten Pekalongan, -6.882887, 109.669998  
"POINT (109.377998 -6.884234)",Kabupaten Pemalang, -6.884234, 109.377998  
"POINT (109.1333333 -6.8666667)",Kabupaten Tegal, -6.8666667, 109.1333333  
"POINT (109.0403012 -6.864586)",Kabupaten Brebes,-6.864586,109.0403012
"POINT (110.213799 -7.481253)",Kota Magelang, -7.481253, 110.213799  
"POINT (110.8231898 -7.5753452)",Kota Surakarta,-7.5753452,110.8231898
"POINT (110.5085197 -7.3301662)",Kota Salatiga,-7.3301662,110.5085197
"POINT (110.4108302 -6.9833651)",Kota Semarang,-6.9833651,110.4108302
"POINT (109.6746543 -6.8892566)",Kota Pekalongan,-6.8892566,109.6746543
"POINT (109.1333333 -6.8666667)",Kota Tegal, -6.8666667, 109.1333333  
"POINT (109.5467738 -7.4419381)",Kabupaten Banjarnegara,-7.4419381,109.5467738
"POINT (110.6645683 -7.739967)",Kabupaten Klaten,-7.739967,110.6645683
"POINT (110.9387418 -7.7978518)",Kabupaten Wonogiri,-7.7978518,110.9387418
